city,population,density (per sq. km)
Ridgely,1657,343
Kaibito,1657,40
Tillson,1657,272
Muhlenberg Park,1656,1102
Black Rock,1656,378
Plains,1655,649
Cade,1655,95
Holland,1655,645
Vance,1654,62
Metlakatla,1654,276
Ritzville,1654,364
Del Rey Oaks,1654,1326
Elk Creek,1654,110
Montpelier,1654,414
Juarez,1653,3227
Rock Creek,1652,14
La Playa,1651,586
Canton Valley,1651,362
Hatch,1650,201
Steelville,1650,263
Lazy Mountain,1650,10
Church Hill,1649,459
Stockdale,1649,377
Daleville,1648,311
Vevay,1648,438
Minco,1648,51
Burnsville,1647,403
Weston,1647,557
Edgeworth,1647,424
Greilickville,1647,140
Duck Hill,1646,614
Harvey,1646,353
Watervliet,1646,538
Dundas,1646,345
Pole Ojea,1646,1143
Annandale,1646,438
Homer,1645,455
Carnegie,1645,463
Muenster,1645,240
Franklin,1645,542
Westwood,1645,116
Honeyville,1644,54
Connelly Springs,1644,127
Richland,1643,198
Jonesboro,1643,710
McArthur,1643,477
Lake City,1642,131
Teutopolis,1642,309
Westwood,1641,1540
Spring Green,1641,379
Thoreau,1641,39
Intercourse,1640,300
Woodburn,1639,661
Houghton,1639,255
Duquesne,1639,341
Los Ranchos,1639,223
Garden City,1638,255
McComb,1638,606
Boaz,1638,176
Hudson Lake,1638,328
Dayton,1637,612
Caledonia,1636,470
Landover Hills,1636,1720
Kettle Falls,1635,586
Moville,1635,664
Charlotte,1634,155
New Berlinville,1634,418
Walcott,1634,202
Pocahontas,1634,312
Stewartville,1634,26
Gearhart,1634,338
Buckhead Ridge,1634,450
Los Alamos,1634,163
Bayou Vista,1633,1967
Chapin,1633,313
Marbury,1633,27
Wilderness Rim,1633,1013
Congress,1632,16
Boulevard Gardens,1632,2510
Sebewaing,1631,396
Water Mill,1631,59
Nooksack,1631,898
Lockney,1631,407
Dundee,1630,571
South Lancaster,1630,476
Georgetown,1630,219
Topaz Ranch Estates,1630,43
Canyon Day,1629,125
Pinewood Estates,1628,47
Shiremanstown,1628,2052
East Bangor,1628,741
Smith Valley,1627,5
Victoria,1626,222
Pinehurst,1626,630
Aurora,1626,165
Reinbeck,1626,289
Perry,1626,276
Penn State Erie,1626,794
Argos,1626,488
St. Francisville,1625,344
Kingsley,1625,515
San Antonio,1625,1297
Marfa,1625,385
Springfield,1624,845
Hillsboro,1624,563
Gordonsville,1624,661
Waterflow,1623,72
Ridgely,1623,380
Mitchell,1623,933
Harlan,1622,201
Jagual,1622,2894
Black Point-Green Point,1622,221
Ester,1622,9
Luis M. Cintrón,1621,522
Temelec,1620,393
Wellington,1620,122
West Glendive,1620,162
Ainsworth,1620,623
Siesta Acres,1620,1530
Wilkinson Heights,1620,209
Mount Ayr,1619,235
Pinebluff,1619,238
South Charleston,1619,506
Rose Hill,1618,434
Chesilhurst,1618,364
Remsen,1617,479
Quincy,1617,504
Kensett,1617,341
Columbus,1617,133
Concord,1616,185
Delavan,1616,432
Key Vista,1616,822
Lakefield,1615,465
Tryon,1615,312
Elk Rapids,1615,377
Saratoga,1615,183
Gordo,1614,191
Ovid,1613,686
Bladenboro,1613,281
El Negro,1613,1957
Sawyerwood,1613,843
Bokeelia,1613,69
Oglala,1612,49
Crosbyton,1612,294
North Eastham,1612,180
Richland,1612,448
Mars,1612,1322
Fox Chase,1612,1788
Corrigan,1611,270
Thorp,1611,417
Senath,1611,323
Lake Bryan,1611,68
Bethel,1611,586
Falmouth Foreside,1611,408
Maurice,1609,223
Spencerville,1609,185
Drew,1608,553
Ashley,1608,942
Mill Hall,1608,673
Georgiana,1608,99
La Huerta,1608,398
Port Byron,1607,255
Ladera,1607,1361
Fish Lake,1605,402
Ballplay,1605,26
Aberdeen,1604,458
Montour Falls,1604,205
Peach Lake,1604,232
Grand Ronde,1604,32
Belleair Beach,1603,1298
Soap Lake,1603,402
Waverly,1603,353
Neoga,1602,444
Leavittsburg,1602,356
Towamensing Trails,1602,106
Espy,1602,687
Stevenson,1601,375
Trevorton,1601,144
Corydon,1600,443
Monterey Park,1600,233
Atlanta,1600,494
South Browning,1600,263
Naranjito,1599,1876
Bowman,1599,387
Saxapahaw,1599,119
Eureka Mill,1599,490
Adrian,1597,294
Brooklyn,1597,923
Emerson,1596,71
Galesville,1596,473
Coalville,1596,98
Spring Valley,1596,58
Rocky Point,1596,870
Traer,1596,477
Monette,1595,108
Edmonton,1595,161
Astor,1595,263
Bernice,1594,190
Orwell,1594,311
Lakeside,1593,371
Shoreacres,1593,676
De Kalb,1593,449
Calumet,1593,282
Linn,1593,527
New Hope,1593,160
Emigration Canyon,1592,33
Eagle River,1592,189
Mayville,1592,308
Midway,1592,833
Del Rio,1592,295
Crooked Lake Park,1592,1065
Aberdeen,1591,488
Cressona,1591,615
Mechanicsburg,1591,626
Woodland Hills,1590,242
Darien,1590,476
Warner,1590,316
Avon,1590,374
Natalia,1590,441
Nashua,1589,212
Shelbina,1589,262
Palomas,1588,1226
Woodland Park,1588,391
Jerome,1588,1318
Union City,1588,666
Lockport Heights,1588,469
Homer City,1588,1110
Rosedale,1588,113
McCord,1588,140
West Milton,1588,738
Eleanor,1587,288
Earlville,1587,510
Kalida,1587,364
Harbor Beach,1587,356
Tecumseh,1586,405
Murfreesboro,1586,162
Sparkill,1586,1156
Paradis,1586,95
Albion,1585,590
Osgood,1585,422
Coarsegold,1585,55
Clark Mills,1585,410
Rollingwood,1585,876
Kenly,1584,350
Prestbury,1584,971
Tuolumne City,1583,262
Bourbon,1582,456
Des Arc,1582,290
Sardis,1581,305
Hamilton,1580,290
Langhorne,1580,1239
Sturgeon,1580,544
Graysville,1580,517
Belhaven,1579,383
Eldorado,1579,437
Oakland,1579,664
Foscoe,1579,105
Brookside Village,1577,294
Stratford,1577,114
Hallsville,1577,395
Morenci,1576,633
East Canton,1576,507
Runaway Bay,1576,241
Banner Hill,1576,436
Leilani Estates,1576,150
Wayne,1576,515
River Hills,1575,117
Lookout Mountain,1574,228
Francis,1574,228
Hartley,1574,468
Central Garage,1574,126
Alvord,1573,398
Owingsville,1573,241
Thorntown,1573,990
Adwolf,1573,71
Shasta,1573,55
Pirtleville,1572,325
Whitehall,1572,105
Warren Park,1572,1341
New Paris,1572,825
Mount Carroll,1571,302
Leona Valley,1571,32
Wacousta,1571,68
Estancia,1571,98
Southern View,1570,1147
Smith Center,1570,474
Summit,1570,267
Pewee Valley,1569,313
Blossom,1569,237
East Dubuque,1569,220
Tonka Bay,1568,644
Del Norte,1568,615
Descanso,1568,31
Genola,1567,43
West Lawn,1567,2849
Inverness,1567,406
Fairlea,1567,161
Sausal,1566,267
Manson,1566,190
Elizabeth,1566,463
Chester Center,1566,302
Milford,1565,416
Random Lake,1565,424
Grayville,1565,284
Chester,1564,685
Toast,1564,398
Union City,1564,417
Dunsmuir,1564,376
Ada,1563,445
Crescent,1561,580
LeChee,1561,36
Baidland,1560,308
Norwood,1560,287
Wardsville,1560,173
Comanche,1559,132
Franklin Furnace,1559,255
Sharon,1557,362
Olive Hill,1556,315
Belle Plaine,1556,722
Ames Lake,1556,375
Manton,1555,384
New Plymouth,1554,872
Ransomville,1553,96
Oak Grove,1553,348
Vonore,1552,68
Woodmont,1552,2182
Carrier Mills,1552,496
Reform,1552,74
Moroni,1552,562
Warren,1552,411
McMillin,1551,362
Westville,1551,493
East Spencer,1551,376
Schoolcraft,1551,610
Sarcoxie,1551,427
Bay Park,1550,1192
New Middletown,1550,685
Duque,1550,2709
Worthington Hills,1550,2336
Wyoming,1549,574
Montrose,1549,612
Cedar Glen Lakes,1549,861
Stanfield,1548,134
Bressler,1548,1886
Shawsville,1548,251
Wagner,1547,316
Linden,1547,80
Lewiston,1547,471
Judson,1546,758
Dover,1546,156
Rehoboth Beach,1546,507
Paxtang,1546,1470
Crothersville,1546,511
Miranda,1545,322
East Berlin,1545,848
Hines,1545,289
Three Oaks,1545,580
Rossville,1545,1299
North Pekin,1545,427
Nescopeck,1544,574
New Fairview,1544,38
Niagara,1544,215
Chatmoss,1544,111
Tipton,1544,327
Seaside Park,1543,909
East Valley,1543,63
Newfield,1543,342
Hillsdale,1542,1738
Fort Belknap Agency,1542,13
Roseto,1540,945
Rosepine,1539,244
Dobson,1539,296
Fairforest,1539,284
Collings Lakes,1539,926
Chapel Hill,1538,187
Logansport,1537,174
Pleasant Grove,1537,184
Rheems,1537,502
Neuse Forest,1536,187
Kodiak Station,1536,25
Ramos,1536,541
Fort Covington Hamlet,1535,30
Harvey,1534,297
Sumas,1534,403
Gallitzin,1534,809
Englewood,1534,310
Hasson Heights,1533,387
Owenton,1533,311
Patrick AFB,1533,191
Appalachia,1533,259
Walnut Cove,1533,237
Coldwater,1533,249
Nederland,1533,399
Brookston,1533,896
Mercersburg,1532,655
Passapatanzy,1532,290
McConnell AFB,1532,142
Mason,1531,298
Baxter,1531,188
Sebree,1530,201
Smethport,1530,363
Chepachet,1530,108
Crownsville,1530,116
Fair Grove,1529,185
Zilwaukee,1529,267
Tariffville,1529,985
Hancock,1529,213
Contoocook,1528,256
Grandview Plaza,1528,696
White Pigeon,1527,418
Stony Point,1527,197
Mescal,1527,120
Bangs,1527,394
Crugers,1527,887
Lusk,1526,284
Edgewood,1525,433
Augusta,1525,266
Port Dickinson,1525,939
Rome,1525,306
Stratford,1525,585
Oronoco,1525,202
Big Pine,1524,199
Kremmling,1524,449
Quinlan,1524,455
McConnellstown,1524,183
Lake Caroline,1523,207
Watertown,1523,442
Kerens,1523,235
Salisbury,1523,439
Apollo,1523,1926
Meade,1523,401
Fort Loramie,1523,586
Fairmount Heights,1522,2219
Lac du Flambeau,1522,118
Salem,1522,439
Limestone,1522,224
Hawthorne,1522,79
Oak Hill,1522,514
Gordon,1521,630
East Brooklyn,1521,345
Avoca,1521,245
Seven Points,1521,213
Bennington,1521,703
Home Garden,1521,1186
Plum Creek,1521,378
Powhatan Point,1520,399
Shreve,1520,678
Coal Run Village,1520,66
Anna,1520,585
Rainelle,1520,527
Bainbridge,1520,257
Dewart,1520,288
Nellieburg,1519,82
Boyd,1518,143
Stacy,1518,181
Pepeekeo,1518,490
Laguna Park,1518,195
Waterville,1517,413
Mediapolis,1517,487
Cross Roads,1516,86
Rock Hill,1516,166
Meridian,1515,280
Dallesport,1515,86
Bells,1515,261
Sebastian,1515,350
Claycomo,1514,224
Redfield,1514,188
Roseland,1514,309
Miamitown,1514,436
Twin Lake,1513,246
Chisholm,1513,267
Winchester,1513,2338
Willow Creek,1513,19
Nutter Fort,1512,656
Atlantic Beach,1512,249
Hilldale,1512,713
Aurora,1512,156
Chualar,1512,932
Snow Hill,1512,379
West Salem,1511,553
Kings Mills,1511,506
Bass Lake,1510,64
Harbor Hills,1510,211
Russell,1510,165
Pilot Rock,1509,398
Northlakes,1509,388
University of Pittsburgh Johnstown,1509,1049
Granger,1508,344
Rock Creek,1508,193
Marathon City,1508,185
Huntsville,1507,244
Collinsville,1506,40
Granville South,1506,95
Bannockburn,1506,286
Granger,1505,871
Worthington,1505,511
Highland Park,1504,784
Mora,1504,1815
Herscher,1504,320
Monrovia,1504,323
Lincolnton,1503,165
Lucasville,1503,230
Buxton,1503,195
New Paris,1503,435
Clinton,1502,211
Stanton,1502,333
De Soto,1502,635
Shoshone,1502,494
Neligh,1501,396
Oakland,1501,339
Charenton,1500,116
Terra Alta,1500,488
Waterman,1500,399
Depoe Bay,1499,319
LaBarque Creek,1499,32
Erie,1499,419
Winfield,1499,903
Columbine Valley,1499,581
Gold Key Lake,1498,254
Orfordville,1498,487
Ackley,1498,233
Russell,1497,484
East Hazel Crest,1497,736
Lukachukai,1497,26
St. Regis Park,1497,1637
Toa Baja,1497,983
Rand,1497,1253
Kittitas,1497,740
Brooklyn Heights,1497,330
Lake Hamilton,1496,185
Parks,1496,3
Long Beach,1496,418
Rafael Capó,1496,403
Mount Vernon,1495,105
Marion,1495,198
Ferndale,1495,1484
Ferron,1495,247
Centerfield,1495,316
Booker,1494,551
Elizabethville,1494,1053
Urbana,1494,266
Guthrie Center,1494,233
Rapid City,1493,106
Copper Canyon,1493,127
Seadrift,1493,472
Sylvan Springs,1492,66
Cacao,1492,698
Dale,1491,238
Edmonston,1490,1408
Greenup,1490,328
Avis,1490,1162
Blue Ridge,1490,74
Murphys Estates,1490,280
Audubon Park,1489,1775
Baldwin,1489,284
Duncannon,1489,1412
Wendover,1489,64
Cherokee,1489,390
Colma,1489,302
McCrory,1488,243
Port Barrington,1488,506
Au Sable,1488,273
Fulton,1487,408
Sun Valley,1486,59
Shepherd,1486,599
Baird,1486,215
Legend Lake,1486,34
Pine Knot,1486,89
Bonner-West Riverside,1486,376
Manito,1486,379
Warsaw,1486,187
Ethete,1486,17
Lacoochee,1485,200
Oakwood,1485,617
Windsor,1485,1045
Williamsville,1485,477
Johnsonville,1485,271
North Granby,1485,68
Oak Leaf,1484,242
La Alianza,1484,777
Quinebaug,1484,131
Babbitt,1484,5
Lynchburg,1483,609
Glen Alpine,1483,266
Blossburg,1482,123
Lone Star,1482,289
Justice,1481,64
Cannelton,1481,385
Warsaw,1480,87
Wolfe City,1480,508
Paisley,1479,182
Bunkerville,1479,13
Airport,1479,994
Belle,1479,427
Brilliant,1479,326
Porterdale,1478,239
Bismarck,1478,570
Pine Valley,1477,79
Parkston,1477,437
Montrose,1477,443
Wheeler,1477,372
Home,1477,90
Webb,1477,50
Elizabeth,1476,1664
Bertram,1476,377
North Redington Beach,1476,2180
Birch Run,1476,302
Sandia Knolls,1475,203
San Antonio,1475,418
Groton,1475,325
Bartolo,1475,3076
Pittsville,1474,372
Cordova,1473,266
Green Valley,1472,67
Hebron,1472,404
Talahi Island,1472,441
Freedom,1472,941
Monticello,1472,136
Bridgeport,1472,495
Lebec,1472,37
Monona,1471,486
Interlachen,1471,95
Redington Beach,1471,1582
Bon Aqua Junction,1471,120
Richmond,1470,480
Victory Gardens,1470,3911
Navesink,1470,642
Weldon,1470,199
South Palm Beach,1470,5658
Porcupine,1470,59
Paonia,1469,690
Mayo,1469,186
Indian Shores,1468,1697
Benson,1468,18
Colwich,1467,424
Winchester,1467,501
Rockvale,1467,129
Omao,1467,446
Radium Springs,1467,94
Plandome,1466,1144
Monument Hills,1466,140
Catawissa,1466,1102
La Pryor,1466,212
Montello,1466,288
Stamps,1465,185
Brooklyn,1465,506
Central Aguirre,1465,1095
Somerville,1465,190
North Lewisburg,1465,520
Big Bend,1465,173
Jackson Center,1465,328
Marble Hill,1464,341
Burkesville,1464,219
Mount Pulaski,1464,498
Fosston,1464,276
Leland Grove,1464,891
Hastings,1464,174
Hartington,1464,564
New Haven,1464,513
Colfax,1464,379
Ardmore,1463,276
Cumberland Head,1463,160
Akron,1463,456
Cambria,1463,415
Malvern,1463,40
Clermont,1463,845
Yaurel,1463,475
Pine Grove Mills,1463,225
Wilson,1463,24
Garrison,1462,411
Castleton-on-Hudson,1462,790
Versailles,1461,1161
Wagon Wheel,1461,222
Culver,1461,538
Blue Ridge,1461,210
Harrisville,1460,694
Brodheadsville,1460,131
Center Hill,1460,92
Lakewood Shores,1459,246
South Windham,1459,180
Dunnigan,1459,107
Slater,1458,293
Perryville,1458,131
Fort Recovery,1458,480
Wauregan,1458,610
Sutton-Alpine,1458,9
Head of the Harbor,1458,200
Burns,1456,165
South Coatesville,1456,323
Newton,1456,39
Mineville,1456,151
Somerset,1455,482
Eatons Neck,1455,559
Shorewood-Tower Hills-Harbert,1455,124
China Spring,1455,121
Whitmire,1454,453
Towanda,1454,613
Lake Catherine,1454,617
Blades,1454,1010
Gower,1454,566
Crump,1454,44
Cleveland,1454,284
Colmar Manor,1454,1310
Pine Prairie,1454,348
Benítez,1454,1546
Lexington,1453,232
Fivepointville,1453,454
Roaming Shores,1452,267
Billington Heights,1452,177
Sugar City,1452,282
Bryson City,1452,256
Bangor,1452,333
Bremen,1452,650
Monarch Mill,1452,99
Burton,1451,534
Navajo,1450,248
Guayabal,1450,1153
Dixon,1450,536
Paul,1449,849
Stony Prairie,1449,348
Kimball,1449,105
Dassel,1449,339
Fox Lake,1449,356
Woodward,1448,153
Vernon Valley,1448,209
Leoti,1448,424
Batesville,1448,94
El Ojo,1448,3498
Ackerman,1448,248
Dunlap,1448,246
Rural Retreat,1448,245
Westlake,1447,87
West Liberty,1447,511
Irwindale,1446,63
Hudson,1446,1478
Walford,1445,567
Koontz Lake,1445,165
Friedens,1445,177
Ash Grove,1444,457
Harleigh,1444,974
Grapeland,1443,216
Buttonwillow,1443,80
Ortonville,1443,577
Awendaw,1443,58
Woxall,1442,230
Raubsville,1442,349
Edgar,1442,308
Arlington,1442,692
Woodbranch,1441,277
Fayette,1441,376
Dover,1440,196
Vienna,1440,196
Girardville,1440,1074
Northwest Ithaca,1439,191
Hoback,1439,12
Purdy,1439,236
Saxonburg,1438,612
Keshena,1438,66
Cut and Shoot,1438,204
Grand Isle,1438,86
Rotan,1438,274
Laflin,1438,411
Dunnstown,1438,675
Huntington Bay,1437,555
Pinetop Country Club,1437,81
Queens Gate,1437,961
State Center,1436,562
Fayette,1436,471
Ivanhoe,1436,174
Gretna,1436,73
Queen City,1436,156
Hurley,1436,170
Virginia,1435,464
Terre Hill,1435,1218
St. Peter,1434,152
Roxana,1434,77
Sutton,1434,318
Chappaqua,1434,1211
Corning,1433,348
Iota,1433,435
Darmstadt,1432,122
Noank,1432,362
Oakdale,1432,1178
Tarkio,1432,398
West Conshohocken,1432,654
Fort Benton,1432,241
Flatonia,1431,341
Capitan,1431,169
Forest,1431,382
Las Ollas,1430,2090
Mancos,1430,860
Cinnamon Lake,1430,341
Cassville,1430,155
Fennville,1429,505
Tylertown,1428,168
Winlock,1428,426
Piedra Gorda,1428,808
La Vernia,1428,230
Washington Mills,1428,823
Thompson Falls,1427,345
Chatham,1427,271
Midpines,1427,22
Castle Hill,1426,757
Mountain Village,1426,166
Taos Pueblo,1425,35
Sundown,1425,361
Chevy Chase Heights,1425,433
Cadott,1424,161
Langhorne Manor,1424,919
West Baraboo,1424,440
Centreville,1424,237
Westport,1424,477
Presquille,1424,702
Ten Mile Run,1423,216
Greenville,1423,150
Greenwich,1422,361
Stanton,1422,255
Benld,1422,517
Oakland,1422,387
Eldridge,1422,842
Manning,1422,220
New Beaver,1421,37
Darrington,1421,317
Stapleton,1421,50
Linntown,1421,773
Celina,1420,297
Walls,1420,46
Pemberville,1420,458
Arma,1420,483
Morris,1420,497
Moody,1420,570
Rustburg,1419,43
Black Earth,1419,648
San Antonio,1419,839
The Pinehills,1419,497
Logan,1418,545
Red Lake Falls,1418,260
Bonduel,1417,242
Pine Mountain,1417,179
Biltmore Forest,1416,187
Rockaway Beach,1416,341
Aristocrat Ranchettes,1416,292
Olmito,1416,853
Chesterfield,1415,133
Helena,1415,1482
Chesapeake,1414,1134
Clintondale,1414,97
Felton,1414,692
Verona,1414,44
Hico,1413,299
San Rafael,1413,52
Pilot Mountain,1413,267
Mount Gay-Shamrock,1413,72
Montezuma,1412,219
Sweet Springs,1412,327
Big Sandy,1412,334
Raleigh,1411,106
Coloma,1411,613
Woodsboro,1410,719
Earlham,1410,562
Dillsboro,1410,408
Hill City,1410,542
Lake Brownwood,1410,95
Cedarville,1410,61
Guthrie,1409,277
Janesville,1409,41
Atglen,1409,622
Millers Creek,1408,121
Claremont,1408,182
South Woodstock,1408,103
Sand Lake,1407,36
Lomas,1407,1588
Worthington,1407,703
Cornell,1407,143
Glade Spring,1406,446
Bagley,1406,273
Benavides,1406,306
Millbrook,1406,291
Centreville,1406,366
Silver Lake,1406,970
Eureka,1406,409
Dunes City,1406,201
Hubbard,1406,277
Harwich Center,1406,241
Great River,1405,118
Shortsville,1405,868
Bay City,1404,429
Bryn Athyn,1404,280
Serenada,1404,209
Menard,1404,262
St. Elmo,1403,428
Greenland,1403,137
Fall Branch,1403,119
Brookfield Center,1403,184
Kingsley,1402,336
Crystal Lakes,1402,1124
Shenandoah Heights,1402,671
Markesan,1401,232
Pelzer,1401,591
Twin Grove,1401,136
Dawson,1400,378
Philo,1400,652
New California,1400,262
Lake Waccamaw,1400,194
Crainville,1400,327
Avondale,1400,1117
North DeLand,1400,1031
Vanceburg,1400,450
Madison,1400,515
Brooklyn,1400,430
Whitley City,1400,234
Falling Waters,1399,433
Pioneer,1399,301
Beaver,1399,467
Wetherington,1399,596
Avon,1398,388
Moose Wilson Road,1398,80
New Windsor,1398,726
Aetna Estates,1398,4102
Gridley,1398,440
Princeton,1398,474
Montague,1398,303
Indian Hills,1398,99
South Carthage,1398,210
Bel-Nor,1397,855
Tracy City,1397,115
Rome City,1397,366
Sackets Harbor,1397,233
Buffalo,1397,134
Mendon,1396,376
Luna Pier,1396,361
Lake Lorelei,1396,244
Elmore,1396,696
Cleora,1396,45
Edison,1396,230
Mountain Mesa,1396,621
Middletown,1396,695
Locust Grove,1395,307
Pomeroy,1395,303
Brocton,1395,311
Bruceton,1395,320
Wellman,1395,507
Irwin,1395,180
Clarks Green,1394,1008
Olivet,1394,216
Milford,1394,251
Donovan Estates,1394,4436
Salina,1394,545
Durand,1394,617
Kilmarnock,1394,157
Palmarejo,1393,1840
Hillsboro,1393,382
Five Points,1393,215
Loving,1393,459
Surrey,1393,254
New Castle Northwest,1393,618
Apache,1393,266
Flomaton,1393,105
Yorktown Heights,1393,588
Gasport,1393,187
West Marion,1392,360
Frazee,1391,486
Russellton,1391,373
Woodway,1391,459
Moodus,1391,185
Rice,1391,94
Parsons,1391,478
Elmo,1391,130
Wolf Creek,1391,169
New Pekin,1390,225
Williams,1390,47
Lakeshire,1389,2407
Lenox,1389,270
New Sarpy,1389,472
Shoemakersville,1388,996
Mishicot,1388,210
Allendale,1388,87
Blawnox,1388,1807
White Cloud,1387,277
Kingsford Heights,1386,602
Pioneer,1386,124
East Griffin,1386,373
Mashpee Neck,1386,422
Woodbine,1385,418
The Hideout,1385,87
Odon,1385,577
Mount Wolf,1385,1020
Adams Center,1385,110
Swepsonville,1384,374
Hackberry,1384,19
Tatum,1384,141
Bedford,1384,333
Lewiston,1383,26
Grandview,1383,1572
Standish,1382,244
Tallaboa Alta,1382,1479
Pelahatchie,1382,89
Sanborn,1381,281
Gardner,1381,183
Lone Tree,1381,499
Masonville,1381,51
Auburn,1380,286
Schwenksville,1379,1330
Duenweg,1379,174
Wildwood,1379,121
Stanleytown,1379,196
Salome,1379,15
Fayetteville,1378,30
Watts Mills,1377,232
West Yellowstone,1376,673
Shoal Creek,1376,105
Gleason,1376,236
New Market,1375,125
Springfield,1375,471
Olla,1375,134
Maury,1375,504
Youngsville,1375,305
Tubac,1375,49
Buchanan Dam,1375,68
Godley,1373,319
Cypress Quarters,1373,198
Glyndon,1373,335
Cactus Flats,1372,86
Kincaid,1372,648
Exmore,1372,203
Vernon Center,1371,179
Oblong,1371,487
Glen Dale,1371,622
St. Leo,1370,470
Northville,1370,71
Ringgold,1370,228
Holstein,1370,335
Mound Bayou,1370,603
Fort Ashby,1369,159
Apple Mountain Lake,1369,308
Carbondale,1369,723
Heidelberg,1368,209
Sleepy Hollow,1368,1265
Oakland,1367,875
Bell Acres,1367,98
Vian,1367,396
Eaton Estates,1366,606
Marmet,1366,414
Mancelona,1366,525
Centennial Park,1366,243
Parcelas La Milagrosa,1366,2054
Glide,1366,52
Pierz,1365,382
Maple Park,1365,254
Reese,1364,391
Lluveras,1364,723
Holiday Valley,1364,289
Tsaile,1364,88
Crystal Falls,1364,150
Walnut Grove,1364,51
Grayson,1364,2362
Wakefield,1363,495
Valencia,1362,1574
Panama,1362,332
Capron,1362,678
Leupp,1362,38
Clarendon,1361,287
Callahan,1360,374
Velda City,1360,3221
La Croft,1360,459
Okawville,1360,259
Skidmore,1360,49
Lake Marcel-Stillwater,1360,411
Tripoli,1360,377
Montgomery,1360,104
Powells Crossroads,1359,107
Geneva,1359,475
Fairview,1358,415
Ravenna,1358,315
Indios,1358,515
Redway,1358,419
Lampeter,1358,305
Coats Bend,1358,61
Nashotah,1357,320
Crane,1357,344
Grand Marais,1357,180
Walnut Grove,1357,184
Minneota,1356,360
