state,city,county,zipcode,latitude,longitude,name,distance
VA,Danville,Danville,24541,36.5831,-79.4087,"Summit Bechtel Reserve, Glen Jean",212.1072
FL,Davenport,Polk,33844,28.1588,-81.6084,"Lake Eola Park, Orlando",48.7404
IA,Davenport,Scott,52809,41.5563,-90.6052,"Grant Park, Chicago",250.1514
CA,Davis,Yolo,95618,38.5552,-121.7365,"Sand Harbor State Park, Incline Village",171.875
OH,Dayton,Montgomery,45490,39.7797,-84.1998,"Egypt Valley Wildlife Area",265.6658
FL,Daytona Beach,Volusia,32198,29.1994,-81.0982,"Little Big Econ State Forest",58.4561
MI,Dearborn,Wayne,48128,42.3127,-83.2129,"Egypt Valley Wildlife Area",300.8299
MI,Dearborn Heights,Wayne,48127,42.3164,-83.2769,"Egypt Valley Wildlife Area",304.3112
AL,Decatur,Morgan,35609,34.573,-86.9906,"Sipsey Wilderness, Mt Hope",48.7521
GA,Decatur,DeKalb,30036,33.7711,-84.2968,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",34.6491
IL,Decatur,Macon,62535,39.8556,-88.9337,"Danville Conservation Area, New Florence",246.9543
FL,Deerfield Beach,Broward,33443,26.305,-80.1277,"Oleta River State Park, North Miami",42.6632
CA,Delano,Kern,93215,35.767,-119.2637,"Kings Canyon National Park, California",139.865
OH,Delaware,Delaware,43015,40.2866,-83.0747,"Egypt Valley Wildlife Area",167.5925
FL,Delray Beach,Palm Beach,33483,26.455,-80.0905,"Oleta River State Park, North Miami",59.5532
FL,Deltona,Volusia,32739,28.905,-81.2137,"Little Big Econ State Forest",27.8316
LA,Denham Springs,Livingston,70726,30.4743,-90.9594,"Gulf State Park, Gulf Shores",319.6626
TX,Denton,Denton,76259,33.2176,-97.1419,"Little Sandy National Wildlife Refuge, Lindale",187.8192
CO,Denver,Denver,80299,39.7621,-104.8759,"Cherry Creek State Park, Aurora",14.0928
IA,Des Moines,Polk,50983,41.5725,-93.6105,"Eagle Bluffs Conservation Area, Columbia",318.9478
IL,Des Plaines,Cook,60019,42.0345,-87.9009,"Grant Park, Chicago",29.002
MI,Detroit,Wayne,48288,42.3834,-83.1024,"Egypt Valley Wildlife Area",302.0147
AL,Dothan,Houston,36321,31.2335,-85.4069,"Gulf State Park, Gulf Shores",238.8269
GA,Douglasville,Douglas,30154,33.7384,-84.7065,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",28.9565
DE,Dover,Kent,19906,39.161,-75.5203,"Shenandoah National Park, Shenandoah",245.2044
IL,Downers Grove,DuPage,60516,41.7949,-88.017,"Grant Park, Chicago",33.9671
CA,Downey,Los Angeles,90242,33.9379,-118.1312,"Topanga State Park, Topanga",45.4472
PA,Downingtown,Chester,19335,40.0076,-75.7019,"Ricketts Glen State Park",156.1618
UT,Draper,Salt Lake,84020,40.4957,-111.8605,"Manti-La Sal National Forest, Price",151.1893
CA,Dublin,Alameda,94568,37.7161,-121.8963,"Yosemite National Park, California",207.8562
OH,Dublin,Franklin,43017,40.1112,-83.1454,"Egypt Valley Wildlife Area",172.7369
IA,Dubuque,Dubuque,52099,42.5008,-90.7067,"Grant Park, Chicago",263.4467
GA,Duluth,Gwinnett,30098,34.0053,-84.1492,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",39.7705
MN,Duluth,St. Louis,55816,46.7756,-92.1392,"Wisconsin Interstate State Park",158.0238
